,site_name,site_id,site_type,region,strand,transcript_name,transcript_id
51,REP276a,REP276A,Repeat-Regions,"(3827339, 3827353)",+,,
52,Lrp DNA-binding-site (BS0-10329),javascript:void(0);,DNA-Binding-Sites,,,,
53,H-NS DNA-binding-site 58 bases upstream of cspAp1,TU0-1581,DNA-Binding-Sites,"(3719823, 3719840)",+,cspA,TU0-1581
54,REPv174b,REPV174B,Repeat-Regions,"(2538605, 2538633)",-,,
55,ArgR-arg DNA-binding-site (BS0-9160),javascript:void(0);,DNA-Binding-Sites,"(3354541, 3354580)",,,
56,CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site (BS0-10763),javascript:void(0);,DNA-Binding-Sites,"(4207674, 4207695)",,,
57,REP264b,REP264B,Repeat-Regions,"(3676185, 3676218)",-,,
58,Nac DNA-binding-site (BS0-9852),javascript:void(0);,DNA-Binding-Sites,"(4400270, 4400287)",,,
59,Fnr DNA-binding-site 105.5 bases upstream of tdcAp,TU00125,DNA-Binding-Sites,"(3267192, 3267206)",-,tdcABCDEFG,TU00125
60,REPv111,REPV111,Repeat-Regions,"(1357771, 1357800)",-,,
61,Fnr DNA-binding-site 50.5 bases upstream of ndhp,TU00158,DNA-Binding-Sites,"(1165935, 1165949)",+,ndh,TU00158
62,Fis DNA-binding-site 52 bases upstream of bglGp1,TU0-42515,DNA-Binding-Sites,"(3906742, 3906757)",-,bglG; bglGFB,TU0-42515; TU0-4802
63,REP256b,REP256B,Repeat-Regions,"(3563647, 3563680)",-,,
64,SdiA DNA-binding-site 53 bases upstream of ydiVp,TU0-13377,DNA-Binding-Sites,"(1792132, 1792149)",-,ydiV,TU0-13377
65,Lrp DNA-binding-site 200 bases downstream of ilvLp2,TU0-42517,DNA-Binding-Sites,"(3950482, 3950497)",+,ilvL; ilvLXG_1G_2MEDA,TU0-42517; TU525
66,REPt57,REPT57,Repeat-Regions,"(681686, 681715)",+,,
67,YefM DNA-binding-site 10.5 bases upstream of yefMp,TU0-13493,DNA-Binding-Sites,"(2089737, 2089751)",-,yefM-yoeB,TU0-13493
68,Lrp DNA-binding-site (BS0-10313),javascript:void(0);,DNA-Binding-Sites,,,,
69,REP245a,REP245A,Repeat-Regions,"(3392077, 3392110)",+,,
70,XylR-xylose DNA-binding-site 2.5 bases downstream of araCp,TU00003,DNA-Binding-Sites,"(70216, 70234)",+,araC,TU00003
71,ArcA-Pasp54 DNA-binding-site regulating yfiF,TU0-8742,DNA-Binding-Sites,"(2718671, 2718686)",-,yfiF,TU0-8742
72,REPt317a,REPT317A,Repeat-Regions,"(4253902, 4253919)",+,,
73,Fis DNA-binding-site 237 bases downstream of fimAp,TU182,DNA-Binding-Sites,"(4542923, 4542938)",+,fimAICDFGH,TU182
74,Nac DNA-binding-site (BS0-9836),javascript:void(0);,DNA-Binding-Sites,"(2175046, 2175063)",,,
75,REP234a,REP234A,Repeat-Regions,"(3252066, 3252099)",+,,
76,PurR-hypoxanthine DNA-binding-site 128.5 bases upstream of carAp1,TU00110,DNA-Binding-Sites,"(29415, 29431)",+,carAB,TU00110
77,CspA DNA-binding-site regulating hnsp,TU00139,DNA-Binding-Sites,,-,hns,TU00139
78,REPt273,REPT273,Repeat-Regions,"(3781699, 3781727)",+,,
79,NagC DNA-binding-site 1 bases downstream of chbBp,TU00248,DNA-Binding-Sites,"(1821715, 1821738)",-,chbBCARFG,TU00248
80,RutR DNA-binding-site 20.5 bases upstream of nemRp,TU0-42534,DNA-Binding-Sites,"(1725993, 1726009)",+,nemRA-gloA; nemRA,TU0-42534; TU0-14687
81,REP225b,REP225B,Repeat-Regions,"(3203193, 3203228)",-,,
82,CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 63.5 bases upstream of hupAp,TU486,DNA-Binding-Sites,"(4200102, 4200124)",+,hupA,TU486
83,GadW DNA-binding-site 100.5 bases upstream of gadAp2,TU0-45268,DNA-Binding-Sites,"(3667698, 3667718)",-,gadAX; gadAX,TU0-45268; TU586
84,REPt222a,REPT222A,Repeat-Regions,"(3150555, 3150577)",+,,
85,Lrp DNA-binding-site (BS0-10297),javascript:void(0);,DNA-Binding-Sites,,,,
86,YjjQ DNA-binding-site 65 bases upstream of yfiRp,TU0-13679,DNA-Binding-Sites,"(2741752, 2741767)",+,yfiR-dgcN-yfiB,TU0-13679
87,REP213a,REP213A,Repeat-Regions,"(3070004, 3070037)",+,,
88,Phosphorylated DNA-binding transcriptional dual regulator BtsR DNA-binding-site 25 bases upstream of csgDp3,TU0-45257,DNA-Binding-Sites,"(1103364, 1103375)",-,csgDEFG; csgDEFG,TU0-45257; TU00392
89,CpxR-phosphorylated DNA-binding-site (BS0-10730),javascript:void(0);,DNA-Binding-Sites,"(179147, 179162)",,,
90,REPt190,REPT190,Repeat-Regions,"(2738916, 2738939)",+,,
91,Nac DNA-binding-site (BS0-9820),javascript:void(0);,DNA-Binding-Sites,"(3884011, 3884028)",,,
92,ArcA-Pasp54 DNA-binding-site regulating oppAp,TU00222,DNA-Binding-Sites,,+,oppABCDF,TU00222
93,REP19b,REP19B,Repeat-Regions,"(248201, 248234)",-,,
94,CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site regulating glgCp1,TU00122,DNA-Binding-Sites,,-,glgCAP,TU00122
95,ArcA-Pasp54 DNA-binding-site 293 bases upstream of cydAp1,TU00100,DNA-Binding-Sites,"(770870, 770885)",+,cydAB,TU00100
96,REPt133,REPT133,Repeat-Regions,"(1864754, 1864774)",+,,
97,Lrp DNA-binding-site 8 bases downstream of lrpp,TU00181,DNA-Binding-Sites,"(932328, 932343)",+,lrp,TU00181
98,CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 59.5 bases upstream of dadAp2,TU00255,DNA-Binding-Sites,"(1237455, 1237477)",+,dadAX; dadAX; dadAX,TU00255; TU462; TU461
99,REP184e,REP184E,Repeat-Regions,"(2662492, 2662525)",+,,
100,CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 40.5 bases upstream of mhpRp1,TU0-36427,DNA-Binding-Sites,"(368566, 368588)",-,mhpR-lacI,TU0-36427
101,Lrp DNA-binding-site (BS0-10281),javascript:void(0);,DNA-Binding-Sites,,,,
102,REPt103,REPT103,Repeat-Regions,"(1167403, 1167432)",+,,
103,IHF DNA-binding-site 18.5 bases upstream of proVp3,TU702,DNA-Binding-Sites,"(2804730, 2804744)",+,proVWX,TU702
104,Lrp DNA-binding-site 56 bases upstream of ridAp,TU0-14169,DNA-Binding-Sites,"(4470995, 4471010)",-,ridA,TU0-14169
105,REP179c,REP179C,Repeat-Regions,"(2581699, 2581717)",+,,
106,CpxR-phosphorylated DNA-binding-site (BS0-10714),javascript:void(0);,DNA-Binding-Sites,"(311382, 311398)",,,
107,Nac DNA-binding-site (BS0-9805),javascript:void(0);,DNA-Binding-Sites,"(2064690, 2064707)",,,
108,REP86a,REP86A,Repeat-Regions,"(984362, 984395)",+,,
109,Fnr DNA-binding-site regulating ssuEp,TU0-6629,DNA-Binding-Sites,,-,ssuEADCB,TU0-6629
110,AraC-arabinose DNA-binding-site 70 bases upstream of araFp3,TU0-45183,DNA-Binding-Sites,"(1986300, 1986317)",-,araFGH; araFGH,TU0-45183; TU00098
111,REP166,REP166,Repeat-Regions,"(2393132, 2393167)",+,,
112,ArcA-Pasp54 DNA-binding-site 101 bases upstream of caiTp,TU00247,DNA-Binding-Sites,"(42131, 42146)",-,caiTABCDE,TU00247
113,NarL-Pasp59 DNA-binding-site 15 bases downstream of ydhYp,TU0-14675,DNA-Binding-Sites,"(1754625, 1754632)",-,ydhYVWXUT,TU0-14675
114,REP71,REP71,Repeat-Regions,"(792265, 792298)",-,,
115,Lrp-leu DNA-binding-site 64.5 bases downstream of ompCp1,TU00049,DNA-Binding-Sites,"(2312761, 2312773)",-,ompC,TU00049
116,AdiY DNA-binding-site regulating gadAp2,TU0-45268,DNA-Binding-Sites,,-,gadAX; gadAX,TU0-45268; TU586
117,REP161i,REP161I,Repeat-Regions,"(2304870, 2304903)",-,,
118,Lrp DNA-binding-site (BS0-10265),javascript:void(0);,DNA-Binding-Sites,,,,
119,DNA-binding transcriptional dual regulator CysB DNA-binding-site regulating ariR,TU0-42593,DNA-Binding-Sites,"(1216241, 1216283)",+,ariR,TU0-42593
120,REP63c,REP63C,Repeat-Regions,"(707902, 707935)",-,,
121,GlaR DNA-binding-site regulating orn,TU0-14151,DNA-Binding-Sites,"(4391540, 4391555)",,orn; rsgA,TU0-14151; TU0-14150
122,CpxR-phosphorylated DNA-binding-site (BS0-10698),javascript:void(0);,DNA-Binding-Sites,"(1621186, 1621202)",,,
123,REP155,REP155,Repeat-Regions,"(2232737, 2232770)",+,,
124,Nac DNA-binding-site (BS0-9789),javascript:void(0);,DNA-Binding-Sites,"(3466893, 3466910)",,,
125,CpxR-phosphorylated DNA-binding-site 100 bases upstream of csgDp3,TU0-45257,DNA-Binding-Sites,"(1103437, 1103452)",-,csgDEFG; csgDEFG,TU0-45257; TU00392
126,REP4b,REP4B,Repeat-Regions,"(39198, 39233)",-,,
127,CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 59.5 bases upstream of tnaCp,TU0-42514,DNA-Binding-Sites,"(3888341, 3888363)",+,tnaC; tnaCAB,TU0-42514; TU00085
128,Fis DNA-binding-site 118 bases upstream of hnsp,TU00139,DNA-Binding-Sites,"(1293069, 1293084)",-,hns,TU00139
129,REP144b,REP144B,Repeat-Regions,"(2118522, 2118555)",-,,
130,Lrp-leu DNA-binding-site 97 bases upstream of hdeAp2,TU0-45242,DNA-Binding-Sites,"(3656881, 3656896)",-,hdeAB-yhiD; hdeAB-yhiD,TU0-45242; TU00282
131,DNA-binding transcriptional activator XapR DNA-binding-site 39 bases upstream of xapAp2,TU0-45226,DNA-Binding-Sites,"(2524943, 2524956)",-,xapAB; xapAB,TU0-45226; TU301
132,REP35c,REP35C,Repeat-Regions,"(411181, 411217)",+,,
133,Cra DNA-binding-site 73.5 bases downstream of fruBp,TU00161,DNA-Binding-Sites,"(2263516, 2263534)",-,fruBKA,TU00161
134,Lrp DNA-binding-site (BS0-10249),javascript:void(0);,DNA-Binding-Sites,,,,
135,REP129a,REP129A,Repeat-Regions,"(1816186, 1816219)",+,,
136,NagC DNA-binding-site 244 bases upstream of chiZp,TU0-13021,DNA-Binding-Sites,"(707980, 708004)",+,chiZPQ,TU0-13021
137,CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site regulating psuKG,TU0-13546,DNA-Binding-Sites,"(2259505, 2259527)",-,psuKG,TU0-13546
138,REP352b,REP352B,Repeat-Regions,"(4614306, 4614342)",+,,
139,CpxR-phosphorylated DNA-binding-site (BS0-10682),javascript:void(0);,DNA-Binding-Sites,"(4375786, 4375801)",,,
140,Nac DNA-binding-site (BS0-9773),javascript:void(0);,DNA-Binding-Sites,"(638938, 638955)",,,
141,REP101a,REP101A,Repeat-Regions,"(1145929, 1145962)",-,,
142,NarL-Pasp59 DNA-binding-site 14 bases downstream of frdAp2,TU0-45225,DNA-Binding-Sites,"(4382396, 4382403)",-,frdABCD; frdABCD,TU0-45225; TU00023
143,CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 94.5 bases upstream of araEp,TU0-42571,DNA-Binding-Sites,"(2982292, 2982314)",-,araE-ygeA; araE,TU0-42571; TU00076
144,REP337b,REP337B,Repeat-Regions,"(4457233, 4457269)",+,,
145,NarL-Pasp59 DNA-binding-site 177 bases upstream of moeAp,TU00302,DNA-Binding-Sites,"(866568, 866575)",-,moeAB,TU00302
146,Fis DNA-binding-site 19 bases downstream of nanAp,TU0-42543,DNA-Binding-Sites,"(3373593, 3373612)",-,nanA; nanATEK-yhcH,TU0-42543; TU0-1601
147,REP327b,REP327B,Repeat-Regions,"(4344877, 4344910)",-,,
148,DNA-binding transcriptional dual regulator CysB DNA-binding-site 93 bases upstream of tauAp,TU302,DNA-Binding-Sites,"(385091, 385133)",+,tauABCD,TU302
149,PhoP-Pasp51 DNA-binding-site 34 bases upstream of glgBp,TU0-14302,DNA-Binding-Sites,"(3573683, 3573700)",-,glgBXCAP,TU0-14302
150,REP323b,REP323B,Repeat-Regions,"(4317967, 4318000)",-,,
151,Lrp DNA-binding-site (BS0-10233),javascript:void(0);,DNA-Binding-Sites,,,,
152,HipB DNA-binding-site 5 bases downstream of relAp1,TU521,DNA-Binding-Sites,"(2913809, 2913842)",-,relA-mazEF,TU521
153,REP31i,REP31I,Repeat-Regions,"(375335, 375366)",+,,
154,Nac DNA-binding-site regulating yjeJ,TU0-14142,DNA-Binding-Sites,"(4374417, 4374434)",-,yjeJ,TU0-14142
155,YiaU DNA-binding-site (BS0-10665),javascript:void(0);,DNA-Binding-Sites,"(3751955, 3751973)",,,
156,REPv6e,REPV6E,Repeat-Regions,"(66736, 66764)",+,,
157,Lrp DNA-binding-site (BS0-9757),javascript:void(0);,DNA-Binding-Sites,"(2204745, 2204760)",,,
158,CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 92.5 bases upstream of ompFp2,TU0-45229,DNA-Binding-Sites,"(987174, 987196)",-,ompF; ompF,TU0-45229; TU00050
159,REP315a,REP315A,Repeat-Regions,"(4245093, 4245126)",-,,
160,ArcA-Pasp54 DNA-binding-site 10 bases upstream of sodAp,TU00064,DNA-Binding-Sites,"(4100742, 4100757)",+,sodA,TU00064
161,MetJ-SAM DNA-binding-site 17.5 bases downstream of metFp,TU00218,DNA-Binding-Sites,"(4132555, 4132571)",+,metF,TU00218
162,REPv339b,REPV339B,Repeat-Regions,"(4470441, 4470469)",-,,
163,Fis DNA-binding-site 37 bases downstream of gadBp2,TU0-45231,DNA-Binding-Sites,"(1572029, 1572044)",-,gadBC; gadBC,TU0-45231; TU369
164,ArcA-Pasp54 DNA-binding-site 32 bases upstream of sdhCp,TU00524,DNA-Binding-Sites,"(754919, 754934)",+,sdhCDAB-sucABCD-sdhX,TU00524
165,REP307a,REP307A,Repeat-Regions,"(4137790, 4137823)",+,,
166,LeuO DNA-binding-site 110 bases upstream of casAp,TU0-13725,DNA-Binding-Sites,"(2884419, 2884440)",-,casABCDE12,TU0-13725
167,Lrp DNA-binding-site (BS0-10219),javascript:void(0);,DNA-Binding-Sites,,,,
168,REPv28b,REPV28B,Repeat-Regions,"(357735, 357763)",-,,
169,FeaR DNA-binding-site 64 bases upstream of tynAp,TU0-42552,DNA-Binding-Sites,"(1451463, 1451484)",-,tynA,TU0-42552
170,Nac DNA-binding-site regulating yhaI,TU0-13867,DNA-Binding-Sites,"(3252928, 3252945)",+,yhaI,TU0-13867
171,REP299b,REP299B,Repeat-Regions,"(4094358, 4094393)",+,,
172,H-NS DNA-binding-site (BS0-10650),javascript:void(0);,DNA-Binding-Sites,,,,
173,Lrp DNA-binding-site (BS0-9741),javascript:void(0);,DNA-Binding-Sites,"(1896676, 1896691)",,,
174,REPv257a,REPV257A,Repeat-Regions,"(3590934, 3590962)",+,,
175,DNA-binding transcriptional dual regulator Fur DNA-binding-site 49 bases upstream of purRp,TU00059,DNA-Binding-Sites,"(1737631, 1737650)",+,purR,TU00059
176,OmpR-P DNA-binding-site 50.5 bases upstream of ompFp2,TU0-45229,DNA-Binding-Sites,"(987133, 987153)",-,ompF; ompF,TU0-45229; TU00050
177,REP289,REP289,Repeat-Regions,"(4008398, 4008431)",-,,
178,Fis DNA-binding-site 53.5 bases upstream of mazEp2,TU523,DNA-Binding-Sites,"(2911401, 2911416)",-,mazEFG; mazEFG,TU523; TU522
179,Fis DNA-binding-site 88 bases upstream of cspIp1,TU0-6981,DNA-Binding-Sites,"(1638893, 1638908)",-,cspI,TU0-6981
180,REPv219b,REPV219B,Repeat-Regions,"(3114454, 3114481)",-,,
181,NarL-Pasp59 DNA-binding-site 185 bases upstream of narGp,TU00044,DNA-Binding-Sites,"(1279619, 1279626)",+,narGHJI,TU00044
182,CpxR-phosphorylated DNA-binding-site 141 bases upstream of csgDp3,TU0-45257,DNA-Binding-Sites,"(1103478, 1103493)",-,csgDEFG; csgDEFG,TU0-45257; TU00392
183,REP270b,REP270B,Repeat-Regions,"(3754907, 3754942)",-,,
184,Lrp DNA-binding-site (BS0-10204),javascript:void(0);,DNA-Binding-Sites,,,,
185,ArcA-Pasp54 DNA-binding-site regulating gadEp3,TU0-14736,DNA-Binding-Sites,,+,gadEF,TU0-14736
186,REPv157b,REPV157B,Repeat-Regions,"(2252860, 2252887)",-,,
187,Nac DNA-binding-site regulating yehE,TU0-13517,DNA-Binding-Sites,"(2192762, 2192779)",-,yehE,TU0-13517
188,Fis DNA-binding-site (BS0-10636),javascript:void(0);,DNA-Binding-Sites,,,,
189,REP262a,REP262A,Repeat-Regions,"(3650713, 3650748)",+,,
190,Lrp DNA-binding-site (BS0-9725),javascript:void(0);,DNA-Binding-Sites,"(102704, 102719)",,,
191,NarP-Pasp59 DNA-binding-site 100 bases upstream of fdnGp,TU00157,DNA-Binding-Sites,"(1547264, 1547280)",+,fdnGHI,TU00157
192,REPv108a,REPV108A,Repeat-Regions,"(1286595, 1286623)",+,,
193,NarL-Pasp59 DNA-binding-site 194 bases upstream of narKp1,TU00045,DNA-Binding-Sites,"(1277735, 1277742)",+,narK,TU00045
194,IHF DNA-binding-site 225 bases upstream of acsp,TU0-45241,DNA-Binding-Sites,"(4287610, 4287623)",-,acs-yjcHG; acs-yjcHG; acs-yjcHG; nrfABCDEFG,TU0-45241; TU0-3723; TU0-3721; TU00199
195,REP253,REP253,Repeat-Regions,"(3546223, 3546258)",+,,
196,Fis DNA-binding-site 81 bases upstream of carAp1,TU00110,DNA-Binding-Sites,"(29461, 29480)",+,carAB,TU00110
197,Fis DNA-binding-site 75 bases upstream of metYp1,TU343,DNA-Binding-Sites,"(3318365, 3318380)",-,metY; metY-yhbC-nusA-infB-rbfA-truB-rpsO-pnp; metY-yhbC-nusA-infB,TU343; TU0-6223; TU00517
198,REPt49,REPT49,Repeat-Regions,"(517370, 517395)",+,,
199,DNA-binding transcriptional dual regulator Fur DNA-binding-site 90 bases downstream of garPp,TU482,DNA-Binding-Sites,"(3274836, 3274855)",-,garPLRK-rnpB,TU482
200,Lrp DNA-binding-site (BS0-10188),javascript:void(0);,DNA-Binding-Sites,,,,
201,REP242b,REP242B,Repeat-Regions,"(3313296, 3313329)",+,,
202,CpxR-phosphorylated DNA-binding-site 48 bases upstream of yqaEp,TU0-42608,DNA-Binding-Sites,"(2797126, 2797141)",-,yqaE-kbp; yqaE,TU0-42608; TU0-13709
203,DnaA-ATP DNA-binding-site 61 bases downstream of idlPp,TU0-45219,DNA-Binding-Sites,"(4556912, 4556921)",+,iraD; iraD,TU0-45219; TU0-14766
204,REPt304,REPT304,Repeat-Regions,"(4115678, 4115707)",+,,
205,Fis DNA-binding-site 104 bases downstream of cbpAp,TU0-45195,DNA-Binding-Sites,"(1063927, 1063942)",-,cbpA-cbpM; cbpA-cbpM; cbpA-cbpM,TU0-45195; TU0-42532; TU0-42533
206,YeiE DNA-binding-site (BS0-10618),javascript:void(0);,DNA-Binding-Sites,,,,
207,REP231f,REP231F,Repeat-Regions,"(3231499, 3231535)",-,,
208,Nac DNA-binding-site regulating ybeQ,TU0-8561,DNA-Binding-Sites,"(676576, 676593)",-,ybeQ,TU0-8561
209,Fnr DNA-binding-site (BS0-9706),javascript:void(0);,DNA-Binding-Sites,"(2460521, 2460536)",,,
210,REPt265a,REPT265A,Repeat-Regions,"(3680368, 3680397)",+,,
211,BaeR-Pasp61 DNA-binding-site 27.5 bases upstream of mdtAp,TU0-7881,DNA-Binding-Sites,"(2153942, 2153962)",+,mdtABCD-baeSR,TU0-7881
212,LacI DNA-binding-site 82 bases upstream of lacZp1,TU00036,DNA-Binding-Sites,"(366415, 366436)",-,lacZYA,TU00036
213,REP221b,REP221B,Repeat-Regions,"(3139669, 3139704)",+,,
214,Fis DNA-binding-site 170 bases upstream of rrsEp3,TU0-45277,DNA-Binding-Sites,"(4207686, 4207701)",+,rrsE-gltV-rrlE-rrfE; rrsE-gltV-rrlE-rrfE,TU0-45277; TU0-1186
215,RutR DNA-binding-site 102.5 bases upstream of rutAp,TU0-3645,DNA-Binding-Sites,"(1074120, 1074138)",-,rutABCDEFG; rutR,TU0-3645; TU0-14540
216,REPt212,REPT212,Repeat-Regions,"(3060661, 3060681)",+,,
217,Fis DNA-binding-site 48 bases upstream of aldBp,TU00138,DNA-Binding-Sites,"(3756576, 3756591)",-,aldB,TU00138
218,MqsA DNA-binding-site 74 bases downstream of mqsRp1,TU0-13832,DNA-Binding-Sites,"(3168573, 3168588)",-,mqsRA,TU0-13832
219,REP210a,REP210A,Repeat-Regions,"(3042322, 3042357)",+,,
220,Lrp DNA-binding-site (BS0-10168),javascript:void(0);,DNA-Binding-Sites,,,,
221,DicA DNA-binding-site regulating dicA,TU0-13328,DNA-Binding-Sites,"(1647865, 1647885)",-,dicA; dicC-ydfXW,TU0-13328; TU0-13327
222,REPt181a,REPT181A,Repeat-Regions,"(2597674, 2597697)",+,,
223,YieP DNA-binding-site (BS0-10603),javascript:void(0);,DNA-Binding-Sites,,,,
224,Nac DNA-binding-site regulating tdcR,TU0-13870,DNA-Binding-Sites,"(3267262, 3267279)",+,tdcR,TU0-13870
225,REP195b,REP195B,Repeat-Regions,"(2835116, 2835149)",-,,
226,Fnr DNA-binding-site (BS0-9690),javascript:void(0);,DNA-Binding-Sites,"(954740, 954755)",,,
