,id,name,transcription-direction,product,region,synonym,regulation,component
29,ECOLI:EG10034,alaS,-,Protein,"(2819381, 2822011)",act; ala-act; lovB,REG0-15392; Transcription-Factor-Binding,TU0-6441
30,ECOLI:EG10035,aldA,+,Protein,"(1488232, 1489671)",ald,REG0-14027; Transcription-Factor-Binding,TU102
31,ECOLI:EG10036,puuC,+,Protein,"(1362743, 1364230)",aldH,REG0-16238; Transcription-Factor-Binding,TU0-13210; TU0-13211
32,ECOLI:EG10037,alkB,-,Protein,"(2308691, 2309341)",aidD,,TU0-45248; TU00072; TU00073
33,ECOLI:EG10039,amn,+,Protein,"(2055061, 2056515)",,REG0-14431; Transcription-Factor-Binding,TU0-6422
34,ECOLI:EG10040,ampC,-,Protein,"(4377811, 4378944)",ampA,,TU243
35,ECOLI:EG10041,ampD,+,Protein,"(118733, 119284)",,REG0-14432; Transcription-Factor-Binding,TU00237
36,ECOLI:EG10042,ampE,+,Protein,"(119281, 120135)",,,TU00237
37,ECOLI:EG10043,cysQ,+,Protein,"(4436755, 4437495)",amt; amtA,,TU0-14162
38,ECOLI:EG10044,osmE,-,Protein,"(1821918, 1822256)",anr,,TU0-45283; TU00398
39,ECOLI:EG10045,ansA,+,Protein,"(1850860, 1851876)",,,TU00238
40,ECOLI:EG10046,ansB,-,Protein,"(3099682, 3100728)",,REG0-15394; Transcription-Factor-Binding; REG0-14433; Transcription-Factor-Binding; REG0-14366; Transcription-Factor-Binding,TU0-6569; TU00075
41,ECOLI:EG10047,apaG,-,Protein,"(51229, 51606)",,,TU0-5202; TU0-5201; TU0-5186; TU00362
42,ECOLI:EG10048,apaH,-,Protein,"(50380, 51222)",cfcB,,TU0-5202; TU0-5201; TU0-5186; TU00362
43,ECOLI:EG10049,appA,+,Protein,"(1040617, 1041915)",,,TU0-45265; TU00461; TU00097
44,ECOLI:EG10050,appY,+,Protein,"(583681, 584430)",,,TU0-45143; TU0-42454; TU0-8479
45,ECOLI:EG10051,apt,+,Protein,"(491412, 491963)",,REG0-14236; Transcription-Factor-Binding,TU0-12947
46,ECOLI:EG10052,araA,-,Protein,"(66835, 68337)",,,TU00214
47,ECOLI:EG10053,araB,-,Protein,"(68348, 70048)",,,TU00214
48,ECOLI:EG10054,araC,+,Protein,"(70387, 71265)",,,TU00003
49,ECOLI:EG10055,araD,-,Protein,"(65855, 66550)",,,TU00214
50,ECOLI:EG10056,araE,-,Protein,"(2980764, 2982182)",,REG0-14435; Transcription-Factor-Binding,TU0-42571; TU00076
51,ECOLI:EG10057,araF,-,Protein,"(1985139, 1986128)",,REG0-14436; Transcription-Factor-Binding; REG0-12819; RNA-Mediated-Translation-Regulation,TU0-45183; TU0-42451; TU00098
52,ECOLI:EG10058,araG,-,Protein,"(1983555, 1985069)",,,TU0-45183; TU0-42451; TU00098
53,ECOLI:EG10059,araH,-,Protein,"(1982554, 1983540)",b1898; b1899,,TU0-45183; TU0-42451; TU00098
54,ECOLI:EG10060,araJ,-,Protein,"(411297, 412481)",araT,,TU00099
55,ECOLI:EG10061,arcA,-,Protein,"(4639590, 4640306)",sfrA; cpxC; dye; fexA; msp; seg,REG0-14326; Transcription-Factor-Binding; REG0-14325; Transcription-Factor-Binding; REG0-14029; Transcription-Factor-Binding; REG0-14028; Transcription-Factor-Binding,TU354; TU352; TU348; TU347; TU346; TU345; TU344
56,ECOLI:EG10062,arcB,-,Protein,"(3350689, 3353025)",,REG0-15396; Transcription-Factor-Binding,TU0-5621
57,ECOLI:EG10063,argA,+,Protein,"(2949242, 2950573)",Arg2; Arg1,REG0-15397; Transcription-Factor-Binding,TU0-8472
58,ECOLI:EG10064,argB,+,Protein,"(4156013, 4156789)",,,TU00004
59,ECOLI:EG10065,argC,+,Protein,"(4155001, 4156005)",Arg2,,TU00004
60,ECOLI:EG10066,argD,-,Protein,"(3488960, 3490180)",Arg1; dapC; dtu,,TU00111
61,ECOLI:EG10067,argF,-,Protein,"(289301, 290305)",,,TU00005
62,ECOLI:EG10068,argG,+,Protein,"(3318637, 3319980)",,,TU0-5501
63,ECOLI:EG10069,argI,-,Protein,"(4477307, 4478311)",,,TU00006
64,ECOLI:EG10070,argR,+,Protein,"(3384703, 3385173)",Rarg; xerA,REG0-15399; Transcription-Factor-Binding; REG0-15398; Transcription-Factor-Binding; REG0-14031; Transcription-Factor-Binding; REG0-14030; Transcription-Factor-Binding,TU0-3501; TU00007
65,ECOLI:EG10071,argS,+,Protein,"(1960062, 1961795)",lov; lov-1,REG0-15400; Transcription-Factor-Binding,TU0-13444
66,ECOLI:EG10072,argT,-,Protein,"(2427009, 2427791)",,REG0-15401; Transcription-Factor-Binding; REG0-14032; Transcription-Factor-Binding,TU0-3581
67,ECOLI:EG10073,aroA,+,Protein,"(958812, 960095)",,REG0-15402; Transcription-Factor-Binding,TU00357
68,ECOLI:EG10074,aroB,-,Protein,"(3517398, 3518486)",,REG0-14237; Transcription-Factor-Binding,TU873; TU872
69,ECOLI:EG10075,aroC,-,Protein,"(2446388, 2447473)",,REG0-15929; RNA-Mediated-Translation-Regulation,TU0-13593
70,ECOLI:EG10076,aroD,+,Protein,"(1774686, 1775444)",,REG0-14439; Transcription-Factor-Binding,TU0-42694; TU0-13373
71,ECOLI:EG10077,aroE,-,Protein,"(3430020, 3430838)",,REG0-14440; Transcription-Factor-Binding,TU0-7281
72,ECOLI:EG10078,aroF,-,Protein,"(2740080, 2741150)",,REG0-14441; Transcription-Factor-Binding,TU00008
73,ECOLI:EG10079,aroG,+,Protein,"(785633, 786685)",,REG0-15404; Transcription-Factor-Binding; REG0-15403; Transcription-Factor-Binding,TU00009
74,ECOLI:EG10080,aroH,+,Protein,"(1788435, 1789481)",,,TU0-14254; TU00010
75,ECOLI:EG10081,aroK,-,Protein,"(3518543, 3519064)",,REG0-13673; Transcription-Factor-Binding,TU873; TU872
76,ECOLI:EG10082,aroL,+,Protein,"(406405, 406929)",,,TU0-42568; TU00011
77,ECOLI:EG10083,aroM,+,Protein,"(407428, 408105)",,,TU0-44218; TU0-42568; TU0-14546; TU00011
78,ECOLI:EG10084,aroP,-,Protein,"(120178, 121551)",aroR,REG0-15923; RNA-Mediated-Translation-Regulation; REG0-14330; Transcription-Factor-Binding; REG0-14329; Transcription-Factor-Binding; REG0-14328; Transcription-Factor-Binding; REG0-14327; Transcription-Factor-Binding; REG0-14238; Transcription-Factor-Binding; REG0-13674; Transcription-Factor-Binding,TU641; TU00012
79,ECOLI:EG10085,ascB,+,Protein,"(2840990, 2842414)",sac,,TU0-42599; TU00241
80,ECOLI:EG10086,ascF,+,Protein,"(2839524, 2840981)",sac,REG0-16198; Transcription-Factor-Binding; REG0-16007; Transcription-Factor-Binding; REG0-11877; RNA-Mediated-Translation-Regulation,TU00241
81,ECOLI:EG10087,ascG,-,Protein,"(2838254, 2839264)",sac,REG0-16010; Transcription-Factor-Binding,TU00242
82,ECOLI:EG10088,asd,-,Protein,"(3573775, 3574878)",dap; hom,,TU0-13935
83,ECOLI:EG10089,aslA,-,Protein,"(3984352, 3986007)",gppB; atsA,,TU0-8769
84,ECOLI:EG10090,aslB,+,Protein,"(3982958, 3984193)",gppB; atsB,,TU0-8863
85,ECOLI:EG10091,asnA,+,Protein,"(3927155, 3928147)",,REG0-15409; Transcription-Factor-Binding; REG0-14442; Transcription-Factor-Binding,TU00112
86,ECOLI:EG10092,asnB,-,Protein,"(697513, 699177)",,REG0-15410; Transcription-Factor-Binding,TU0-4929
87,ECOLI:EG10093,asnC,-,Protein,"(3926545, 3927003)",,,TU0-14263; TU0-14262; TU00113
88,ECOLI:EG10094,asnS,-,Protein,"(987585, 988985)",lcs; tss,,TU0-13093
89,ECOLI:EG10095,aspA,-,Protein,"(4366891, 4368327)",,REG0-15411; Transcription-Factor-Binding; REG0-14367; Transcription-Factor-Binding,TU0-6021; TU00160
90,ECOLI:EG10096,aspC,-,Protein,"(984519, 985709)",,REG0-15412; Transcription-Factor-Binding,TU0-6482
91,ECOLI:EG10097,aspS,-,Protein,"(1948750, 1950522)",tls,REG0-15413; Transcription-Factor-Binding,TU0-14634; TU0-8084
92,ECOLI:EG10098,atpA,-,Protein,"(3918316, 3919857)",papA; uncA,REG0-15416; Transcription-Factor-Binding,TU0-6636; TU0-6635; TU00243
93,ECOLI:EG10099,atpB,-,Protein,"(3921236, 3922051)",papD; uncB,REG0-16180; Transcription-Factor-Binding,TU0-6636; TU0-6635; TU00243
94,ECOLI:EG10100,atpC,-,Protein,"(3915553, 3915972)",papG; uncC,,TU0-6636; TU0-6635; TU00243
95,ECOLI:EG10101,atpD,-,Protein,"(3915993, 3917375)",papB; uncD,,TU0-6636; TU0-6635; TU00243
96,ECOLI:EG10102,atpE,-,Protein,"(3920950, 3921189)",papH; uncE,,TU0-6636; TU0-6635; TU00243
97,ECOLI:EG10103,atpF,-,Protein,"(3920418, 3920888)",papF; uncF,,TU0-6636; TU0-6635; TU00243
98,ECOLI:EG10104,atpG,-,Protein,"(3917402, 3918265)",papC; uncG,,TU0-6636; TU0-6635; TU00243
99,ECOLI:EG10105,atpH,-,Protein,"(3919870, 3920403)",papE; uncH,REG0-15417; Transcription-Factor-Binding,TU0-6636; TU0-6635; TU00243
100,ECOLI:EG10106,atpI,-,Protein,"(3922060, 3922440)",uncI,REG0-16178; Transcription-Factor-Binding,TU00243
101,ECOLI:EG10107,avtA,+,Protein,"(3739705, 3740958)",,REG0-14370; Transcription-Factor-Binding; REG0-14369; Transcription-Factor-Binding; REG0-14368; Transcription-Factor-Binding,TU0-13984
102,ECOLI:EG10108,bcp,+,Protein,"(2600478, 2600948)",,,TU0-6483
103,ECOLI:EG10109,betA,-,Protein,"(325577, 327247)",,,TU00115
104,ECOLI:EG10110,betB,-,Protein,"(327261, 328733)",,,TU00115
105,ECOLI:EG10111,betI,-,Protein,"(328747, 329334)",,,TU00115
106,ECOLI:EG10112,betT,+,Protein,"(329463, 331496)",,,TU00116
107,ECOLI:EG10113,bfr,-,Protein,"(3466249, 3466725)",,REG0-14446; Transcription-Factor-Binding; REG0-12377; RNA-Mediated-Translation-Regulation,TU0-13914
108,ECOLI:EG10114,bglB,-,Protein,"(3902289, 3903701)",blgA,REG0-14447; Transcription-Factor-Binding,TU0-4802
109,ECOLI:EG10115,bglF,-,Protein,"(3903720, 3905597)",bglS,,TU0-4802
110,ECOLI:EG10116,bglG,-,Protein,"(3905731, 3906567)",bglC,,TU0-42564; TU0-42515; TU0-4802
111,ECOLI:EG10117,bioA,-,Protein,"(807968, 809257)",,,TU00013
112,ECOLI:EG10118,bioB,+,Protein,"(809344, 810384)",,,TU00117
113,ECOLI:EG10119,bioC,+,Protein,"(811522, 812277)",,,TU00117
114,ECOLI:EG10120,bioD,+,Protein,"(812270, 812947)",,,TU00117
115,ECOLI:EG10121,bioF,+,Protein,"(810381, 811535)",,,TU00117
116,ECOLI:EG10122,bioH,-,Protein,"(3544074, 3544844)",bioB,,TU0-8772
117,ECOLI:EG10123,birA,+,Protein,"(4173082, 4174047)",bioR; dhbB,,TU0-14099
118,ECOLI:EG10124,bisC,-,Protein,"(3714061, 3716394)",,REG0-14450; Transcription-Factor-Binding,TU0-8773
119,ECOLI:EG10125,bolA,+,Protein,"(454472, 454789)",,,TU0-45284; TU0-14251; TU00386
120,ECOLI:EG10126,btuB,+,Protein,"(4163639, 4165483)",bfe; cer,,TU0-6281
121,ECOLI:EG10127,btuC,-,Protein,"(1794172, 1795152)",,,TU00246
122,ECOLI:EG10128,btuD,-,Protein,"(1792809, 1793558)",,,TU0-44193; TU00246
123,ECOLI:EG10129,btuE,-,Protein,"(1793558, 1794109)",,REG0-15420; Transcription-Factor-Binding,TU0-44214; TU0-44213; TU00246
124,ECOLI:EG10130,btuR,-,Protein,"(1327767, 1328357)",cobA,,TU0-13196
125,ECOLI:EG10131,cadA,-,Protein,"(4356470, 4358617)",ldcI,REG0-16001; RNA-Mediated-Translation-Regulation; REG0-15943; Transcription-Factor-Binding,TU0-14513; TU00467
126,ECOLI:EG10132,cadB,-,Protein,"(4358697, 4360031)",,,TU00467
127,ECOLI:EG10133,cadC,-,Protein,"(4360396, 4361934)",,REG0-14242; Transcription-Factor-Binding,TU00118
128,ECOLI:EG10134,carA,+,Protein,"(29651, 30799)",arg; pyrA,REG0-14033; Transcription-Factor-Binding,TU00110; TU00109
129,ECOLI:EG10135,carB,+,Protein,"(30817, 34038)",pyrA,,TU0-6884; TU00110; TU00109
130,ECOLI:EG10136,cca,+,Protein,"(3201891, 3203129)",,,TU-8393
131,ECOLI:EG10137,cdd,+,Protein,"(2231844, 2232728)",,,TU841
132,ECOLI:EG10138,cdh,+,Protein,"(4109930, 4110685)",,,TU0-6485
133,ECOLI:EG10139,cdsA,+,Protein,"(195677, 196534)",cds,,TU0-14339; TU0-14609; TU0-12831; TU0-14340
134,ECOLI:EG10140,chbB,-,Protein,"(1821299, 1821619)",celA,,TU00248
135,ECOLI:EG10141,chbC,-,Protein,"(1819856, 1821214)",celB; hic,REG0-11994; RNA-Mediated-Translation-Regulation,TU00248
136,ECOLI:EG10142,chbA,-,Protein,"(1819455, 1819805)",celC,,TU00248
137,ECOLI:EG10143,chbR,-,Protein,"(1818605, 1819447)",celD,,TU00248
138,ECOLI:EG10144,chbF,-,Protein,"(1817148, 1818500)",ydjD; celF,,TU00248
139,ECOLI:EG10145,creD,+,Protein,"(4638178, 4639530)",refII; cet,,TU0-14683; TU00253
140,ECOLI:EG10146,cheA,-,Protein,"(1973360, 1975324)",,REG0-14461; Transcription-Factor-Binding,TU00303
141,ECOLI:EG10147,cheB,-,Protein,"(1967452, 1968501)",,,TU0-1547
142,ECOLI:EG10148,cheR,-,Protein,"(1968504, 1969364)",cheX,,TU0-1547
143,ECOLI:EG10149,cheW,-,Protein,"(1972836, 1973339)",,,TU00303
144,ECOLI:EG10150,cheY,-,Protein,"(1967048, 1967437)",,,TU0-1547
145,ECOLI:EG10151,cheZ,-,Protein,"(1966393, 1967037)",,,TU0-1547
146,ECOLI:EG10152,modC,+,Protein,"(796554, 797612)",chlD; narD,,TU0-14276; TU00301
147,ECOLI:EG10153,moeA,-,Protein,"(865129, 866364)",bisB; chlE; narE,REG0-14580; Transcription-Factor-Binding,TU00302
148,ECOLI:EG10154,moeB,-,Protein,"(864380, 865129)",chlN,,TU00302
149,ECOLI:EG10155,cirA,-,Protein,"(2244778, 2246769)",cir; feuA,REG0-11857; Protein-Mediated-Translation-Regulation; REG0-11856; RNA-Mediated-Translation-Regulation,TU00015; TU00014
150,ECOLI:EG10156,clpA,+,Protein,"(923264, 925540)",lopD,,TU00447; TU00446; TU00445
151,ECOLI:EG10157,clpB,-,Protein,"(2731600, 2734173)",htpM,,TU0-45212; TU00421
152,ECOLI:EG10158,clpP,+,Protein,"(456677, 457300)",lopP,REG0-15424; Transcription-Factor-Binding,TU0-14490; TU00419; TU00251
153,ECOLI:EG10159,clpX,+,Protein,"(457426, 458700)",lopC,,TU0-14490; TU0-14455; TU00419; TU00251
154,ECOLI:EG10160,cpdB,-,Protein,"(4434622, 4436565)",,REG0-14468; Transcription-Factor-Binding,TU00120
155,ECOLI:EG10161,cpsB,-,Protein,"(2123084, 2124520)",rfbM; manC; mni,,TU0-13499
156,ECOLI:EG10162,cpsG,-,Protein,"(2121609, 2122979)",rfbK; manB,,TU0-13499
157,ECOLI:EG10163,cpxA,-,Protein,"(4103602, 4104975)",rssE; ecfB; eup; ssd; ecf,,TU0-45281; TU0-3
158,ECOLI:EG10164,crp,+,Protein,"(3486120, 3486752)",cap; csm; gurB,,TU0-14398; TU0-14396; TU00119
159,ECOLI:EG10165,crr,+,Protein,"(2535834, 2536343)",treD; gsr; iex; tgs,,TU0-45232; TU0-4786; TU0-4782; TU00483; TU00482; TU00481; TU00480; TU00479
160,ECOLI:EG10166,cspA,+,Protein,"(3720049, 3720261)",,REG0-16202; Transcription-Factor-Binding,TU0-1582; TU0-1581
161,ECOLI:EG10167,cstA,+,Protein,"(629894, 631999)",ybdC,REG0-15932; RNA-Mediated-Translation-Regulation,TU0-6823; TU0-6822; TU0-6821
162,ECOLI:EG10168,lnt,-,Protein,"(689343, 690881)",cutE,,TU0-14471; TU0-13016
163,ECOLI:EG10169,cvpA,-,Protein,"(2430275, 2430763)",dedE,REG0-13675; Transcription-Factor-Binding,TU00475; TU00444
164,ECOLI:EG10170,cyaA,+,Protein,"(3991153, 3993699)",cya,,TU0-14403; TU0-14402; TU00016
165,ECOLI:EG10172,cybB,+,Protein,"(1490902, 1491432)",,,TU0-13253
166,ECOLI:EG10173,cydA,+,Protein,"(771458, 773026)",cyd-1,REG0-14472; Transcription-Factor-Binding; REG0-14335; Transcription-Factor-Binding; REG0-14334; Transcription-Factor-Binding; REG0-14333; Transcription-Factor-Binding; REG0-14332; Transcription-Factor-Binding; REG0-14331; Transcription-Factor-Binding; REG0-14041; Transcription-Factor-Binding; REG0-14040; Transcription-Factor-Binding; REG0-14039; Transcription-Factor-Binding; REG0-14038; Transcription-Factor-Binding; REG0-14037; Transcription-Factor-Binding,TU0-3163; TU0-3162; TU0-3161; TU358; TU00100
167,ECOLI:EG10174,cydB,+,Protein,"(773042, 774181)",cyd-2,,TU0-3163; TU0-3162; TU0-3161; TU358; TU00100
168,ECOLI:EG10175,cynS,+,Protein,"(359489, 359959)",cnt; cyaN,,TU0-14378; TU00142
169,ECOLI:EG10176,cynT,+,Protein,"(358799, 359458)",,REG0-14474; Transcription-Factor-Binding,TU0-14378; TU00142
170,ECOLI:EG10177,cynX,+,Protein,"(359992, 361146)",,,TU00142
171,ECOLI:EG10178,cyoA,-,Protein,"(450663, 451610)",,REG0-14043; Transcription-Factor-Binding; REG0-14042; Transcription-Factor-Binding,TU00101
172,ECOLI:EG10179,cyoB,-,Protein,"(448650, 450641)",,,TU00101
173,ECOLI:EG10180,cyoC,-,Protein,"(448046, 448660)",,,TU00101
174,ECOLI:EG10181,cyoD,-,Protein,"(447717, 448046)",,,TU00101
175,ECOLI:EG10182,cyoE,-,Protein,"(446815, 447705)",,,TU00101
176,ECOLI:EG10183,cysA,-,Protein,"(2539717, 2540814)",,,TU00144
177,ECOLI:EG10184,cysB,+,Protein,"(1333855, 1334829)",,REG0-15431; Transcription-Factor-Binding,TU00077
178,ECOLI:EG10185,cysC,-,Protein,"(2873387, 2873992)",,,TU00146
179,ECOLI:EG10186,cysD,-,Protein,"(2875421, 2876329)",,,TU00146
180,ECOLI:EG10187,cysE,-,Protein,"(3781741, 3782562)",,,TU0-6501
181,ECOLI:EG10188,cysG,+,Protein,"(3497828, 3499201)",,,TU0-0; TU0-6; TU00046
182,ECOLI:EG10189,cysH,-,Protein,"(2887578, 2888312)",,,TU0-14511; TU00078
183,ECOLI:EG10190,cysI,-,Protein,"(2888387, 2890099)",,,TU00078
184,ECOLI:EG10191,cysJ,-,Protein,"(2890099, 2891898)",,REG0-16075; Transcription-Factor-Binding; REG0-16070; Transcription-Factor-Binding; REG0-14475; Transcription-Factor-Binding,TU00078
185,ECOLI:EG10192,cysK,+,Protein,"(2532409, 2533380)",ssi5,,TU0-14642; TU00079
186,ECOLI:EG10193,cysM,-,Protein,"(2538672, 2539583)",,,TU00144
187,ECOLI:EG10194,cysN,-,Protein,"(2873992, 2875419)",,REG0-14244; Transcription-Factor-Binding,TU00146
188,ECOLI:EG10195,cysP,-,Protein,"(2542512, 2543528)",,,TU00144
189,ECOLI:EG10196,cysS,+,Protein,"(554611, 555996)",syc,REG0-14476; Transcription-Factor-Binding; REG0-14245; Transcription-Factor-Binding,TU0-8477
190,ECOLI:EG10197,cysU,-,Protein,"(2541679, 2542512)",cysT,,TU00144
191,ECOLI:EG10198,cysW,-,Protein,"(2540804, 2541679)",,,TU00144
192,ECOLI:EG10200,cytR,-,Protein,"(4123431, 4124456)",,,TU0-5961
193,ECOLI:EG10201,dacA,-,Protein,"(662752, 663963)",pfv,,TU0-13008
194,ECOLI:EG10202,dacB,+,Protein,"(3328963, 3330396)",,,TU0-8781
195,ECOLI:EG10203,dacC,+,Protein,"(880727, 881929)",,REG0-13676; Transcription-Factor-Binding,TU0-8782
196,ECOLI:EG10204,dam,-,Protein,"(3515077, 3515913)",,,TU876; TU875; TU874; TU873; TU872
197,ECOLI:EG10205,dapA,-,Protein,"(2598882, 2599760)",,,TU00256
198,ECOLI:EG10206,dapB,+,Protein,"(28374, 29195)",,REG0-14478; Transcription-Factor-Binding,TU0-14399; TU0-6403
199,ECOLI:EG10207,dapD,-,Protein,"(185123, 185947)",ssa,,TU0-12827; TU0-6443
200,ECOLI:EG10208,dapE,+,Protein,"(2591607, 2592734)",msgB,,TU0-14404; TU0-13642
201,ECOLI:EG10209,dapF,+,Protein,"(3994762, 3995586)",,,TU0-14042
202,ECOLI:EG10210,dbpA,+,Protein,"(1409511, 1410884)",rhlC,,
203,ECOLI:EG10211,dcm,-,Protein,"(2030899, 2032317)",mec,REG0-14479; Transcription-Factor-Binding,TU00257
204,ECOLI:EG10212,dcp,-,Protein,"(1625335, 1627380)",,,TU0-8783
205,ECOLI:EG10213,ddlA,-,Protein,"(399829, 400923)",,REG0-16004; Transcription-Factor-Binding,TU0-8784
206,ECOLI:EG10214,ddlB,+,Protein,"(102233, 103153)",ddl,,TU0-14445; TU0-14443; TU0-14439; TU0-941
207,ECOLI:EG10215,deaD,-,Protein,"(3305971, 3307860)",csdA; mssB; rhlD,REG0-15433; Transcription-Factor-Binding,TU0-45160; TU0-14763; TU0-13880
208,ECOLI:EG10216,dedA,-,Protein,"(2434082, 2434741)",,REG0-15434; Transcription-Factor-Binding,TU0-5183; TU0-5182
209,ECOLI:EG10217,accD,-,Protein,"(2433012, 2433926)",dedB; usg,,TU00232
210,ECOLI:EG10218,dedD,-,Protein,"(2431022, 2431684)",,,TU0-13591
211,ECOLI:EG10219,deoA,+,Protein,"(4618229, 4619551)",TP; tpp; ttg,,TU0-14537; TU00018; TU00017
212,ECOLI:EG10220,deoB,+,Protein,"(4619603, 4620826)",tlr; drm; thyR,REG0-15435; Transcription-Factor-Binding,TU0-14537; TU0-6646; TU00018; TU00017
213,ECOLI:EG10221,deoC,+,Protein,"(4617323, 4618102)",tlr; dra; thyR,,TU00018; TU00017
214,ECOLI:EG10222,deoD,+,Protein,"(4620883, 4621602)",pup,,TU0-14537; TU0-6646; TU00018; TU00017
215,ECOLI:EG10223,deoR,-,Protein,"(881976, 882734)",nucR,,TU0-13067
216,ECOLI:EG10224,dgkA,+,Protein,"(4256637, 4257005)",,,TU0-36442; TU0-14115
217,ECOLI:EG10225,dgt,+,Protein,"(179237, 180754)",optA,REG0-16221; Transcription-Factor-Binding; REG0-16220; Transcription-Factor-Binding,TU0-14393; TU0-12823
218,ECOLI:EG10226,dicA,+,Protein,"(1647934, 1648341)",ftsT,,TU0-13328
219,ECOLI:EG10227,dicB,+,Protein,"(1649609, 1649797)",ftsT,,TU0-13331
220,ECOLI:EG10228,dicC,-,Protein,"(1647620, 1647850)",ftsT,,TU0-13327
221,ECOLI:EG10229,flk,+,Protein,"(2437950, 2438945)",div,,TU0-5184
222,ECOLI:EG10230,dksA,-,Protein,"(160149, 160604)",msmA,,TU0-42497; TU00358; TU0-14681; TU0-14494
223,ECOLI:EG10231,dld,+,Protein,"(2222185, 2223900)",ldh,,TU0-8787
224,ECOLI:EG10232,dmsA,+,Protein,"(940959, 943403)",,,TU0-1122; TU00019
225,ECOLI:EG10233,dmsB,+,Protein,"(943414, 944031)",,,TU0-1122; TU00019
226,ECOLI:EG10234,dmsC,+,Protein,"(944033, 944896)",,,TU0-42696; TU0-1122; TU00019
227,ECOLI:EG10235,dnaA,-,Protein,"(3882326, 3883729)",,REG0-15823; Transcription-Factor-Binding; REG0-15822; Transcription-Factor-Binding; REG0-15821; Transcription-Factor-Binding; REG0-14486; Transcription-Factor-Binding,TU593; TU00259
228,ECOLI:EG10236,dnaB,+,Protein,"(4264314, 4265729)",groP; grpA; grpD,,TU0-14119
229,ECOLI:EG10237,dnaC,-,Protein,"(4600238, 4600975)",dnaD,,TU0-8869; TU0-8868; TU0-8867; TU00261
230,ECOLI:EG10238,dnaE,+,Protein,"(205126, 208608)",sdgC; polC,,TU0-8373
